Match_title,Series,Place,Date,Time
AUSTRALIA TOUR OF INDIA 2023-24,1st ODI -,Mohali,22 SEP 2023,1:30 PM IST
19TH ASIAN GAMES HANGZHOU 2022,Semi Final 1 -,Hangzhou,24 SEP 2023,6:30 AM IST
AUSTRALIA TOUR OF INDIA 2023-24,2nd ODI -,Indore,24 SEP 2023,1:30 PM IST
AUSTRALIA TOUR OF INDIA 2023-24,3rd ODI -,Rajkot,27 SEP 2023,1:30 PM IST
ICC MENS WORLD CUP 2023 WARM-UP MATCHES,1st ODI -,Guwahati,30 SEP 2023,2:00 PM IST
19TH ASIAN GAMES HANGZHOU 2022,Quarter Final 1 -,Hangzhou,3 OCT 2023,6:30 AM IST
ICC MENS WORLD CUP 2023 WARM-UP MATCHES,2nd ODI -,Thiruvananthapuram,3 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,1st ODI -,Chennai,8 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,2nd ODI -,Delhi,11 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,3rd ODI -,Ahmedabad,14 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,4th ODI -,Pune,19 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,5th ODI -,Dharamsala,22 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,6th ODI -,Lucknow,29 OCT 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,7th ODI -,Mumbai,2 NOV 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,8th ODI -,Kolkata,5 NOV 2023,2:00 PM IST
ICC MENS WORLD CUP 2023,9th ODI -,Bengaluru,12 NOV 2023,2:00 PM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,13 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,13 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,15 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,15 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,17 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,17 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,20 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,20 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,22 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,22 NOV 2023,9:00 AM IST
AUSTRALIA TOUR OF INDIA 2023-24,1st T20I -,Visakhapatnam,23 NOV 2023,7:00 PM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,24 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Youth List-A Match -,Vijayawada,24 NOV 2023,9:00 AM IST
AUSTRALIA TOUR OF INDIA 2023-24,2nd T20I -,Thiruvananthapuram,26 NOV 2023,7:00 PM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,3rd Place -,Vijayawada,27 NOV 2023,9:00 AM IST
QUADRANGULAR MENS U19 ONE DAY SERIES,Final -,Vijayawada,27 NOV 2023,9:00 AM IST
AUSTRALIA TOUR OF INDIA 2023-24,3rd T20I -,Guwahati,28 NOV 2023,7:00 PM IST
AUSTRALIA TOUR OF INDIA 2023-24,4th T20I -,Nagpur,1 DEC 2023,7:00 PM IST
AUSTRALIA TOUR OF INDIA 2023-24,5th T20I -,Hyderabad,3 DEC 2023,7:00 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,1st T20I -,Durban,10 DEC 2023,9:30 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,2nd T20I -,Gqeberha,12 DEC 2023,9:30 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,3rd T20I -,Johannesburg,14 DEC 2023,9:30 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,1st ODI -,Johannesburg,17 DEC 2023,2:00 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,2nd ODI -,Gqeberha,19 DEC 2023,2:00 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,3rd ODI -,Paarl,21 DEC 2023,2:00 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,1st Test -,Centurion,26 DEC 2023,1:30 PM IST
INDIA TOUR OF SOUTH AFRICA 2023-24,2nd Test -,Cape Town,3 JAN 2024,1:30 PM IST
AFGHANISTAN TOUR OF INDIA 2023-24,1st T20I -,Mohali,11 JAN 2024,7:00 PM IST
AFGHANISTAN TOUR OF INDIA 2023-24,2nd T20I -,Indore,14 JAN 2024,7:00 PM IST
AFGHANISTAN TOUR OF INDIA 2023-24,3rd T20I -,Bengaluru,17 JAN 2024,7:00 PM IST
ENGLAND TOUR OF INDIA 2023-24,1st Test -,Hyderabad,25 JAN 2024,9:30 AM IST
ENGLAND TOUR OF INDIA 2023-24,2nd Test -,Visakhapatnam,2 FEB 2024,9:30 AM IST
ENGLAND TOUR OF INDIA 2023-24,3rd Test -,Rajkot,15 FEB 2024,9:30 AM IST
ENGLAND TOUR OF INDIA 2023-24,4th Test -,Ranchi,23 FEB 2024,9:30 AM IST
ENGLAND TOUR OF INDIA 2023-24,5th Test -,Dharamsala,7 MAR 2024,9:30 AM IST
