Song_Name,Artist_name,Last Week rank,Peak rank,Week on Board
Vampire,Olivia Rodrigo,9,1,11
Paint The Town Red,Doja Cat,1,1,6
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,2,1,3
Fast Car,Luke Combs,3,2,25
Cruel Summer,Taylor Swift,4,3,19
Last Night,Morgan Wallen,5,1,33
Bad Idea Right?,Olivia Rodrigo,26,7,5
Snooze,SZA,7,7,40
Fukumean,Gunna,8,4,13
Dance The Night,Dua Lipa,6,6,16
Get Him Back!,Olivia Rodrigo,-,11,1
Calm Down,Rema & Selena Gomez,10,3,54
All-American Bitch,Olivia Rodrigo,-,13,1
Bongos,Cardi B & Megan Thee Stallion,-,14,1
Barbie World,Nicki Minaj & Ice Spice With Aqua,12,7,12
The Grudge,Olivia Rodrigo,-,16,1
Flowers,Miley Cyrus,13,1,35
All My Life,Lil Durk Featuring J. Cole,14,2,18
Making The Bed,Olivia Rodrigo,-,19,1
Logical,Olivia Rodrigo,-,20,1
Religiously,Bailey Zimmerman,15,14,19
Rich Men North Of Richmond,Oliver Anthony Music,11,1,5
Lacy,Olivia Rodrigo,-,23,1
Ballad Of A Homeschooled Girl,Olivia Rodrigo,-,24,1
Love Is Embarrassing,Olivia Rodrigo,-,25,1
Used To Be Young,Miley Cyrus,16,8,3
Thinkin' Bout Me,Morgan Wallen,19,9,28
Need A Favor,Jelly Roll,18,14,24
Kill Bill,SZA,21,1,40
Pretty Isn't Pretty,Olivia Rodrigo,-,30,1
Anti-Hero,Taylor Swift,20,1,47
What Was I Made For?,Billie Eilish,22,14,9
Peaches & Eggplants,Young Nudy Featuring 21 Savage,51,33,15
Hey Driver,Zach Bryan Featuring The War And Treaty,17,14,3
Creepin',"Metro Boomin, The Weeknd & 21 Savage",25,3,41
Karma,Taylor Swift Featuring Ice Spice,24,2,27
Meltdown,Travis Scott Featuring Drake,27,3,7
Dial Drunk,Noah Kahan With Post Malone,28,25,13
Teenage Dream,Olivia Rodrigo,-,39,1
Watermelon Moonshine,Lainey Wilson,33,33,12
I Know ?,Travis Scott,34,11,7
Qlona,Karol G & Peso Pluma,31,28,5
Try That In A Small Town,Jason Aldean,30,1,9
Seven,Jung Kook Featuring Latto,37,1,9
Tourniquet,Zach Bryan,29,20,3
What It Is (Block Boy),Doechii Featuring Kodak Black,41,41,19
Single Soon,Selena Gomez,39,19,3
Daylight,David Kushner,42,40,22
Love You Anyway,Luke Combs,32,15,31
Bury Me In Georgia,Kane Brown,36,34,18
Slow Dancing,V,-,51,1
Spotless,Zach Bryan Featuring The Lumineers,35,17,3
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",47,35,12
Mi Ex Tenia Razon,Karol G,43,22,5
East Side Of Sorrow,Zach Bryan,40,18,3
Save Me,Jelly Roll With Lainey Wilson,79,56,13
LaLa,Myke Towers,44,43,10
Good Good,"Usher, Summer Walker & 21 Savage",58,58,5
In Your Love,Tyler Childers,65,43,7
Bipolar,Peso Pluma x Jasiel Nunez x Junior H,-,60,1
White Horse,Chris Stapleton,57,31,8
Last Time I Saw You,Nicki Minaj,23,23,2
Telekinesis,Travis Scott Featuring SZA & Future,50,26,7
FE!N,Travis Scott Featuring Playboi Carti,54,5,7
Popular,"The Weeknd, Playboi Carti & Madonna",66,43,15
SkeeYee,Sexyy Red,67,66,2
Everything I Love,Morgan Wallen,64,14,29
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,61,61,2
Angels Don't Always Have Wings,Thomas Rhett,73,69,8
Lose Control,Teddy Swims,81,70,5
Deli,Ice Spice,60,41,8
Tulum,Peso Pluma & Grupo Frontera,71,43,11
Truck Bed,HARDY,59,55,13
Sabor Fresa,Fuerza Regida,70,26,12
Fear And Friday's,Zach Bryan,48,24,3
El Dorado,Zach Bryan,49,31,3
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",75,65,9
Oh U Went,Young Thug Featuring Drake,76,19,12
Put It On Da Floor Again,Latto Featuring Cardi B,68,13,15
Where She Goes,Bad Bunny,72,8,17
Ticking,Zach Bryan,52,29,3
Summertime's Close,Zach Bryan,53,23,3
Dawns,Zach Bryan Featuring Maggie Rogers,77,42,20
Oklahoma Smoke Show,Zach Bryan,80,80,8
Call Your Friends,Rod Wave,97,26,4
Overtime,Zach Bryan,55,22,3
Pretty Little Poison,Warren Zeiders,87,59,5
Come See Me,Rod Wave,56,56,2
El Amor de Su Vida,Grupo Frontera & Grupo Firme,93,82,4
Holy Roller,Zach Bryan Featuring Sierra Ferrell,69,37,3
Girl In Mine,Parmalee,92,91,7
Smaller Acts,Zach Bryan,63,38,3
Fight The Feeling,Rod Wave,-,16,19
K-POP,"Travis Scott, Bad Bunny & The Weeknd",74,7,8
Summer Too Hot,Chris Brown,94,93,4
Lagunas,Peso Pluma & Jasiel Nunez,-,77,9
Sittin' On Top Of The World,Burna Boy,86,80,3
Rubicon,Peso Pluma,95,63,11
TQM,Fuerza Regida,89,34,17
Amargura,Karol G,91,85,5
