Hostel Name,Distance,Rating,Overall Rating
Wombat's City Hostel London,- 3.6km from city centre,(15265),Fabulous
St Christopher's Village,- 1.8km from city centre,(12379),Superb
Onefam Notting Hill,- 5.5km from city centre,(2233),Fabulous
NX London Hostel,- 6.1km from city centre,(2093),Superb
Urbany Hostel London,- 5.4km from city centre,(895),Fabulous
Generator London,- 3km from city centre,(7714),Superb
Astor Hyde Park,- 4.3km from city centre,(12162),Very Good
Safestay London Elephant & Castle,- 1.7km from city centre,(5093),Fabulous
Phoenix Hostel,- 4.2km from city centre,(4386),Very Good
Clink261,- 3.2km from city centre,(385),Very Good
Astor Museum Inn,- 2.2km from city centre,(9326),Fabulous
Smart Russell Square Hostel,- 2.6km from city centre,(10081),Fabulous
Safestay London Kensington Holland Park,- 5.8km from city centre,(1637),Very Good
No.8 Willesden Hostel London,- 10km from city centre,(5079),Very Good
The Walrus Hostel,- 0.2km from city centre,(4191),Good
Destinations Hostels @ The Gallery,- 1.7km from city centre,(221),Fabulous
No.8 Seven Sisters,- 9km from city centre,(4054),Superb
Queen Elizabeth Chelsea,- 5.7km from city centre,(3548),Very Good
Barmy Badger Backpackers,- 5.5km from city centre,(1971),Superb
Astor Victoria,- 1.8km from city centre,(15015),Very Good
London Backpackers,- 11.9km from city centre,(4510),Very Good
St Christopher's Hammersmith,- 7.5km from city centre,(4295),Very Good
Hostelle - women only hostel London,- 5.1km from city centre,(28),Fabulous
St Christopher's Camden,- 4.3km from city centre,(4087),Very Good
YHA London Oxford Street,- 2.1km from city centre,(4652),Fabulous
Kabannas London St Pancras,- 3.3km from city centre,(2887),Fabulous
Prime Backpackers Angel,- 3.6km from city centre,(789),Very Good
Bell House Hostel,- 4.2km from city centre,(92),Very Good
Astor Kensington,- 4.9km from city centre,(6531),Fabulous
Saint James Backpackers,- 5.5km from city centre,(1918),Very Good
